COUNTRY;MAKE;OEM;OEM_NEW;PRICE;PRICE_NEW;VALID_FROM (YYYYMMDD);VALID_UNTIL (YYYYMMDD)
RO;033;10527;;23347;;;
RO;033;11622;;106343;;;
RO;033;11870;;53259;;;
RO;033;11871;;62794;;;
RO;033;12080;;31302;;;
RO;033;12081;;31302;;;
RO;033;12089;;2451;;;
RO;033;12090;;25662;;;
RO;033;12091;;38559;;;
RO;033;12101;;28408;;;
RO;033;12135;;115611;;;
RO;033;12136;;256409;;;
RO;033;12151;;23981;;;
RO;033;12152;;24979;;;
RO;033;12179;;14430;;;
RO;033;12526;;41524;;;
RO;033;12527;;31588;;;
RO;033;27H2403J;;17380;;;
RO;033;511598;;10649;;;
RO;033;A1812146;;0;;;
RO;033;A1812475;;0;;;
RO;033;AAU1095;;78960;;;
RO;033;AAU2044;;9531;;;
RO;033;AAU2045;;12557;;;
RO;033;AAU2102;;191243;;;
RO;033;AAU2103;;191243;;;
RO;033;AAU3378;;113960;;;
RO;033;AAU3379;;113960;;;
RO;033;AAU6800;;69560;;;
RO;033;AEU1195;;154523;;;
RO;033;AEU1343;;47967;;;
RO;033;AEU1344;;47967;;;
RO;033;AEU1390E;;336659;;;
RO;033;AEU1590;;14741;;;
RO;033;AEU1728;;-000000000015459;;;
RO;033;AEU1729;;-000000000017361;;;
RO;033;AEU1733;;38559;;;
RO;033;AEU1734;;47515;;;
RO;033;AEU1738E;;-000000000036388;;;
RO;033;AEU1900;;44230;;;
RO;033;AEU1930E;;92157;;;
RO;033;AEU2488;;30841;;;
RO;033;AEU2525;;25228;;;
RO;033;AEU2527;;75947;;;
RO;033;AEU2589;;-000000000001925;;;
RO;033;AEU2590;;-000000000003199;;;
RO;033;AEU2803;;74910;;;
RO;033;AEU2804;;72116;;;
RO;033;AEU3023E;;36490;;;
RO;033;AEU4004;;4418;;;
RO;033;AGU1108;;89451;;;
RO;033;AJ810024;;14866;;;
RO;033;AJ810025;;14866;;;
RO;033;AJ810031;;15200;;;
RO;033;AJ810037;;59301;;;
RO;033;AJ810106;;7697;;;
RO;033;AJ810445;;31463;;;
RO;033;AJ810514;;14977;;;
RO;033;AJ810519;;128493;;;
